##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ES_430_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	178096978
Sequences flagged as poor quality	0
Sequence length	101
%GC	39
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.31865818632812	33.0	31.0	34.0	30.0	34.0
2	32.61556423489679	34.0	31.0	34.0	31.0	34.0
3	32.65335309619908	34.0	31.0	34.0	31.0	34.0
4	36.17815127104515	37.0	37.0	37.0	35.0	37.0
5	31.22782041253951	37.0	35.0	37.0	2.0	37.0
6	33.07524837956543	37.0	35.0	37.0	17.0	37.0
7	35.22050361797829	37.0	35.0	37.0	32.0	37.0
8	35.73717878581859	37.0	35.0	37.0	33.0	37.0
9	37.72704260035226	39.0	37.0	39.0	35.0	39.0
10-11	37.7825241902757	39.0	38.0	39.0	35.0	39.0
12-13	37.78983854234742	39.0	38.0	39.0	35.0	39.0
14-15	39.20761946617645	41.0	39.0	41.0	36.0	41.0
16-17	39.21624391627802	41.0	39.0	41.0	36.0	41.0
18-19	39.193958263008824	41.0	39.0	41.0	36.0	41.0
20-21	39.17308353485931	41.0	39.0	41.0	36.0	41.0
22-23	39.08480879164609	40.0	39.0	41.0	35.5	41.0
24-25	38.99840936099432	40.0	39.0	41.0	35.0	41.0
26-27	38.7975658969351	40.0	38.0	41.0	34.5	41.0
28-29	38.646519358683335	40.0	38.0	41.0	34.0	41.0
30-31	38.62124648459785	40.0	38.0	41.0	34.0	41.0
32-33	38.51332470391497	40.0	38.0	41.0	34.0	41.0
34-35	38.38804410538622	40.0	38.0	41.0	34.0	41.0
36-37	38.24163503493024	40.0	38.0	41.0	33.5	41.0
38-39	38.112113861920776	40.0	38.0	41.0	33.0	41.0
40-41	37.94953501681539	40.0	37.5	41.0	33.0	41.0
42-43	37.78027495222294	40.0	37.0	41.0	33.0	41.0
44-45	37.841568120263105	40.0	37.0	41.0	33.0	41.0
46-47	37.79448412370029	40.0	37.0	41.0	33.0	41.0
48-49	37.60004967069121	40.0	37.0	41.0	32.5	41.0
50-51	37.36629494914844	40.0	36.5	41.0	31.5	41.0
52-53	37.317257601080684	40.0	36.0	41.0	32.0	41.0
54-55	37.249064374916	40.0	36.0	41.0	31.5	41.0
56-57	37.09188668546639	39.0	36.0	41.0	31.0	41.0
58-59	36.86821527651075	39.0	35.0	41.0	31.0	41.0
60-61	36.57477044332555	39.0	35.0	41.0	31.0	41.0
62-63	36.28937474166462	38.5	35.0	40.0	30.0	41.0
64-65	35.99927977722339	38.0	35.0	40.0	30.0	41.0
66-67	35.66484081498564	37.5	34.5	40.0	29.0	41.0
68-69	35.391167412172486	37.0	34.0	40.0	29.0	41.0
70-71	35.03502611650154	36.5	34.0	39.5	29.0	41.0
72-73	34.648147460424624	36.0	34.0	39.0	28.5	41.0
74-75	34.25155399043324	35.5	34.0	39.0	28.0	40.0
76-77	33.44917930331193	35.0	32.5	37.0	26.5	39.0
78-79	33.558364364834986	35.0	33.0	37.0	27.0	39.0
80-81	33.26806917801828	35.0	33.0	37.0	27.0	39.0
82-83	32.89392922208933	35.0	33.0	36.0	26.0	39.0
84-85	32.52381019345539	35.0	33.0	36.0	26.0	37.0
86-87	32.199004157162065	35.0	32.0	36.0	26.0	37.0
88-89	31.896390010615452	35.0	32.0	35.0	25.0	37.0
90-91	31.602120351531177	35.0	32.0	35.0	25.0	36.0
92-93	31.266324676210957	34.0	32.0	35.0	24.0	36.0
94-95	30.952217086468472	34.0	31.0	35.0	23.0	36.0
96-97	30.56012966149263	34.0	31.0	35.0	19.5	36.0
98-99	30.114429170718438	34.0	31.0	35.0	13.0	35.0
100-101	28.777726085279223	33.0	29.0	34.5	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.10905466585736434
1101	2	0.12194394983313828
1101	3	0.1420214993987301
1101	4	0.04556969804865929
1101	5	5.0329786178918745
1101	6	3.159918050221549
1101	7	0.8847092420347238
1101	8	0.35623393896901234
1101	9	0.15850402176931766
1101	10-11	0.0699836476151603
1101	12-13	0.012280564301271113
1101	14-15	-0.03616363534518996
1101	16-17	-0.0263684633808694
1101	18-19	-0.0536224828513312
1101	20-21	-0.045708802693575024
1101	22-23	0.01959925406454488
1101	24-25	0.0011962904250069073
1101	26-27	0.09443864253191947
1101	28-29	0.033224025270179425
1101	30-31	0.04339180927603792
1101	32-33	0.059584366617237094
1101	34-35	0.06578017286177129
1101	36-37	0.052637786873646064
1101	38-39	0.004891273272754404
1101	40-41	-0.04614526211343417
1101	42-43	0.011767014089976158
1101	44-45	-0.019536244046378215
1101	46-47	-0.12810927531595695
1101	48-49	-0.09270647777650254
1101	50-51	-0.03232383489113033
1101	52-53	0.0036586057716974096
1101	54-55	0.10016439134099642
1101	56-57	0.1698865885758849
1101	58-59	0.16274217605135277
1101	60-61	0.19325068954674407
1101	62-63	0.09816167925306729
1101	64-65	0.19141727361708405
1101	66-67	0.16476271885873217
1101	68-69	0.13616865885465046
1101	70-71	0.26894976343610466
1101	72-73	0.2595862461063021
1101	74-75	0.27736906203193
1101	76-77	0.22733562134436625
1101	78-79	0.2856949122734349
1101	80-81	0.27357304139832905
1101	82-83	0.3232753535528161
1101	84-85	0.3226660768287246
1101	86-87	0.21691687319275843
1101	88-89	0.37143023086976257
1101	90-91	0.3462971067395415
1101	92-93	0.2909600994135424
1101	94-95	0.24637531664992451
1101	96-97	0.31571630228821235
1101	98-99	0.3359830126011687
1101	100-101	0.4740304189512088
1102	1	0.09027128045865851
1102	2	0.05681578672072618
1102	3	0.049105758017731205
1102	4	0.01990185815240153
1102	5	5.001850564876559
1102	6	3.13199556745127
1102	7	0.8718643429431125
1102	8	0.31360940274263527
1102	9	0.07807386922262083
1102	10-11	-0.012684839472207443
1102	12-13	-0.06572680349687232
1102	14-15	-0.008713527166463564
1102	16-17	-0.07183256488772116
1102	18-19	-0.037344111448653905
1102	20-21	3.0905800588243437E-4
1102	22-23	0.012735824066581358
1102	24-25	0.03683802693467442
1102	26-27	0.12777071353495018
1102	28-29	0.12458565393325927
1102	30-31	0.06015940701815481
1102	32-33	-0.015085478788215312
1102	34-35	-0.03870633655822786
1102	36-37	-0.011549199872220584
1102	38-39	0.016363591599152016
1102	40-41	0.04471355090692697
1102	42-43	0.0018846200586821737
1102	44-45	-0.07897169301970308
1102	46-47	-0.07673116573673155
1102	48-49	-0.09546600090051527
1102	50-51	-0.0037849002716185964
1102	52-53	-0.04042768635873273
1102	54-55	0.10963558932650841
1102	56-57	0.22290547402387517
1102	58-59	0.18824882321555947
1102	60-61	0.13542304746670908
1102	62-63	0.15329440216669354
1102	64-65	0.22813910500926937
1102	66-67	0.3319014040235899
1102	68-69	0.27077317624208064
1102	70-71	0.30079396272706305
1102	72-73	0.3288200320748871
1102	74-75	0.37489595847203816
1102	76-77	0.3182513422641975
1102	78-79	0.44136123092907553
1102	80-81	0.37686596065281464
1102	82-83	0.3767151443074397
1102	84-85	0.38563223388403856
1102	86-87	0.46060203505587793
1102	88-89	0.4409970564397696
1102	90-91	0.4767854591750478
1102	92-93	0.564442692200469
1102	94-95	0.5276260291816044
1102	96-97	0.5573589336715514
1102	98-99	0.670045996409069
1102	100-101	0.9252254276432126
1103	1	-3.3576461855489015E-4
1103	2	-0.021355472504453132
1103	3	0.006677078230765687
1103	4	-0.03376940633776826
1103	5	4.954439404136739
1103	6	3.0809255421987984
1103	7	0.8249563547142671
1103	8	0.289591304875529
1103	9	0.022827080665820176
1103	10-11	-0.061333120900712856
1103	12-13	-0.1054321782378338
1103	14-15	-0.10936666269113715
1103	16-17	-0.14868821224797557
