##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ES_430_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	178096978
Sequences flagged as poor quality	0
Sequence length	101
%GC	38
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.831665223426757	33.0	31.0	34.0	30.0	34.0
2	32.026009469964166	34.0	31.0	34.0	30.0	34.0
3	32.064282443916596	34.0	31.0	34.0	30.0	34.0
4	35.461023134261154	37.0	35.0	37.0	33.0	37.0
5	35.428993977651885	37.0	35.0	37.0	33.0	37.0
6	35.45027091925164	37.0	35.0	37.0	33.0	37.0
7	35.384856968207515	37.0	35.0	37.0	33.0	37.0
8	35.39566489443746	37.0	35.0	37.0	33.0	37.0
9	37.00669097260033	39.0	37.0	39.0	33.0	39.0
10-11	37.023138343200856	39.0	37.0	39.0	33.0	39.0
12-13	37.00384668514701	39.0	37.0	39.0	33.0	39.0
14-15	38.33520670406884	40.0	38.0	41.0	33.0	41.0
16-17	38.28708278531262	40.0	38.0	41.0	33.0	41.0
18-19	38.212511177477694	40.0	38.0	41.0	33.0	41.0
20-21	38.180209714170445	40.0	38.0	41.0	33.0	41.0
22-23	38.10506493546454	40.0	38.0	41.0	33.0	41.0
24-25	37.998544388552176	40.0	38.0	41.0	33.0	41.0
26-27	37.87321997962256	40.0	38.0	41.0	33.0	41.0
28-29	37.69976459117683	40.0	38.0	41.0	32.0	41.0
30-31	37.62051052320495	40.0	38.0	41.0	32.0	41.0
32-33	37.65350406731775	40.0	38.0	41.0	32.0	41.0
34-35	37.59182886303663	40.0	38.0	41.0	32.0	41.0
36-37	37.48798792363563	40.0	38.0	41.0	31.0	41.0
38-39	37.363891385063255	40.0	37.0	41.0	31.0	41.0
40-41	37.26189663925685	40.0	37.0	41.0	31.0	41.0
42-43	37.10419951651285	40.0	37.0	41.0	30.5	41.0
44-45	36.97723299662053	40.0	37.0	41.0	30.0	41.0
46-47	36.83628239329249	40.0	36.5	41.0	30.0	41.0
48-49	36.62175134437149	40.0	36.0	41.0	30.0	41.0
50-51	35.982316488267415	39.0	35.5	40.5	29.0	41.0
52-53	35.96713612962034	39.0	35.0	40.0	29.0	41.0
54-55	36.18992490147699	39.0	35.0	41.0	29.0	41.0
56-57	36.05757653001838	39.0	35.0	41.0	28.5	41.0
58-59	35.76794591932941	39.0	35.0	41.0	28.0	41.0
60-61	35.54177134044352	38.5	35.0	40.5	28.0	41.0
62-63	35.32042996821653	38.0	34.0	40.0	27.5	41.0
64-65	35.26376500616423	38.0	34.5	40.0	28.0	41.0
66-67	35.06510911993128	37.5	34.0	40.0	28.0	41.0
68-69	34.75237328002275	37.0	34.0	40.0	27.0	41.0
70-71	34.40884155822116	36.5	34.0	39.5	26.0	41.0
72-73	33.98554610511134	36.0	34.0	39.0	26.0	41.0
74-75	33.660861207875186	36.0	34.0	39.0	26.0	41.0
76-77	33.25523479404575	35.0	33.0	38.5	25.5	40.0
78-79	32.92066458309023	35.0	33.0	37.0	25.0	39.5
80-81	32.565380031322036	35.0	33.0	37.0	25.0	39.0
82-83	32.172323642684155	35.0	32.5	36.5	24.0	39.0
84-85	31.767230954923896	35.0	32.0	36.0	22.5	37.5
86-87	31.364280397840325	35.0	32.0	36.0	20.5	37.0
88-89	31.01787197646891	35.0	31.0	35.0	20.0	37.0
90-91	30.7134029865459	35.0	31.0	35.0	18.5	36.0
92-93	30.468319706693734	34.0	31.0	35.0	17.5	36.0
94-95	30.19849671171849	34.0	31.0	35.0	11.5	36.0
96-97	29.83951172096811	34.0	31.0	35.0	2.0	36.0
98-99	29.44791925666476	34.0	31.0	35.0	2.0	35.0
100-101	28.1523812801585	33.0	28.5	34.5	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.034283144861298354
1101	2	-0.003946083335776507
1101	3	0.008066428243004964
1101	4	0.08714134316742417
1101	5	0.04074088916659235
1101	6	0.10624665192145955
1101	7	0.1468694017604406
1101	8	0.1419323205352896
1101	9	0.06360418441700944
1101	10-11	0.06618192752927143
1101	12-13	0.17196305940904466
1101	14-15	0.1782477833424494
1101	16-17	0.22568542084629684
1101	18-19	0.09521246041054354
1101	20-21	0.1412798343393007
1101	22-23	0.21497450421465203
1101	24-25	0.2684169930073921
1101	26-27	0.15590589767473517
1101	28-29	0.2240534757312176
1101	30-31	0.23218528378581027
1101	32-33	0.29349300096807696
1101	34-35	0.265285164231301
1101	36-37	0.24278361855807162
1101	38-39	0.31719747828442735
1101	40-41	0.2806983992249812
1101	42-43	0.1480082486177139
1101	44-45	0.17298234176646332
1101	46-47	0.1826115442647378
1101	48-49	0.1831914066270457
1101	50-51	0.15710770744654923
1101	52-53	0.04290743076592918
1101	54-55	0.10668893828725601
1101	56-57	0.11379079857874075
1101	58-59	0.10113423034680835
1101	60-61	0.26782966958348453
1101	62-63	0.2804024902244322
1101	64-65	0.2024030560911001
1101	66-67	0.2952857367930122
1101	68-69	0.3932011822290775
1101	70-71	0.38133891450754476
1101	72-73	0.4926618271917036
1101	74-75	0.3253709930040074
1101	76-77	0.49946194704111946
1101	78-79	0.4719882155276167
1101	80-81	0.5104908705158735
1101	82-83	0.3759465465943279
1101	84-85	0.3743472078956813
1101	86-87	0.39475161794343094
1101	88-89	0.4337199405314429
1101	90-91	0.494731696407829
1101	92-93	0.48617700169400635
1101	94-95	0.5342836150646768
1101	96-97	0.5188406380982222
1101	98-99	0.5161079150665664
1101	100-101	0.841581606901503
1102	1	-0.03128392291872473
1102	2	0.020501356033506113
1102	3	0.029610610701737983
1102	4	0.061739237236814404
1102	5	-0.006727768291540315
1102	6	0.0251962071769114
1102	7	0.08193357995552475
1102	8	0.02808999423409375
1102	9	0.0017608081168845047
1102	10-11	0.07357597180641307
1102	12-13	0.09474309921820634
1102	14-15	0.12614583127405155
1102	16-17	0.1536017864521213
1102	18-19	0.13396620395364067
1102	20-21	0.1414696252671348
1102	22-23	0.16483098797959173
1102	24-25	0.13212488901139352
1102	26-27	0.12147832270750314
1102	28-29	0.2566703694579715
1102	30-31	0.19573307758737002
1102	32-33	0.16076607780322405
1102	34-35	0.16823006468032986
1102	36-37	0.24745602191904226
1102	38-39	0.25582543367460886
1102	40-41	0.25565850381651245
1102	42-43	0.18310660590339012
1102	44-45	0.23945673037530213
1102	46-47	0.2716650101825522
1102	48-49	0.14840683196437965
1102	50-51	0.0682946480515838
1102	52-53	0.10243959568091299
1102	54-55	0.21095733197947908
1102	56-57	0.20709676033562374
1102	58-59	0.31862929241335536
1102	60-61	0.3241034105955052
1102	62-63	0.2525524180244716
1102	64-65	0.22797558332471368
1102	66-67	0.29278638124802114
1102	68-69	0.32180283098188767
1102	70-71	0.27331345532348195
1102	72-73	0.2205696901192269
1102	74-75	0.29278326058745563
1102	76-77	0.38056151805221106
1102	78-79	0.37441962170407095
1102	80-81	0.41805421961631595
1102	82-83	0.31407825785122867
1102	84-85	0.3896710901620537
1102	86-87	0.32421516600552636
1102	88-89	0.3543371346901729
1102	90-91	0.46924474374023006
1102	92-93	0.534356040206692
1102	94-95	0.6357900501384286
1102	96-97	0.601260404372514
1102	98-99	0.6923581591562886
1102	100-101	0.9372707154516533
1103	1	-0.14214521296510796
1103	2	-0.09567205830164482
1103	3	-0.12142530361837345
1103	4	-0.08550220792042751
1103	5	-0.05348199077126026
1103	6	-0.06864493785319326
1103	7	0.013388449421562143
1103	8	0.018799164167148774
1103	9	-0.17707545780009326
1103	10-11	-0.13087536118312215
1103	12-13	-0.07853635394880598
1103	14-15	-0.06861732389247521
1103	16-17	-0.029424596443554663
1103	18-19	-0.004902740803309769
1103	20-21	-0.047680041202035284
