##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ET_385_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	221202343
Sequences flagged as poor quality	0
Sequence length	101
%GC	36
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.570861173021118	31.0	31.0	34.0	30.0	34.0
2	31.796697076576624	31.0	31.0	34.0	30.0	34.0
3	31.966912705802578	33.0	31.0	34.0	30.0	34.0
4	35.50459525647972	37.0	35.0	37.0	33.0	37.0
5	35.43540048307716	37.0	35.0	37.0	33.0	37.0
6	35.455481011790184	37.0	35.0	37.0	33.0	37.0
7	35.27190272573198	37.0	35.0	37.0	32.0	37.0
8	35.38431831167358	37.0	35.0	37.0	32.0	37.0
9	36.994000452336984	39.0	37.0	39.0	33.0	39.0
10-11	36.95618373264699	39.0	37.0	39.0	33.0	39.0
12-13	36.979249580100515	39.0	37.0	39.0	33.0	39.0
14-15	38.20604845492075	40.0	37.0	41.0	33.0	41.0
16-17	38.163559596654004	40.0	37.0	41.0	33.0	41.0
18-19	38.04626302941104	40.0	37.0	41.0	32.5	41.0
20-21	38.10164874022153	40.0	37.0	41.0	33.0	41.0
22-23	38.02069117323951	40.0	37.0	41.0	33.0	41.0
24-25	37.93718630502933	40.0	37.0	41.0	32.0	41.0
26-27	37.758387400986976	40.0	37.0	41.0	32.0	41.0
28-29	37.63974659617416	40.0	37.0	41.0	32.0	41.0
30-31	37.49557863408346	40.0	37.0	41.0	31.5	41.0
32-33	33.16711611865702	38.0	31.0	40.0	12.5	41.0
34-35	36.08399385037255	38.0	34.0	40.0	28.5	41.0
36-37	36.79092763723574	39.0	36.0	40.0	30.0	41.0
38-39	36.847739119562576	39.0	36.0	40.0	30.0	41.0
40-41	36.66336290117867	39.0	35.0	40.0	30.0	41.0
42-43	36.48926284203057	38.5	35.0	40.0	30.0	41.0
44-45	36.592734537626484	39.0	35.0	40.0	30.0	41.0
46-47	36.5781743143652	39.0	35.0	40.0	30.0	41.0
48-49	36.437160857740096	39.0	35.0	40.0	30.0	41.0
50-51	36.20115317675455	39.0	35.0	40.0	29.0	41.0
52-53	36.15949999679705	39.0	35.0	40.0	29.0	41.0
54-55	36.10712969030351	38.5	35.0	40.0	29.0	41.0
56-57	35.923060810436354	38.0	34.5	40.0	28.0	41.0
58-59	35.67196337970073	38.0	34.0	40.0	28.0	41.0
60-61	35.34024385989438	38.0	34.0	40.0	27.5	41.0
62-63	35.06352869191806	38.0	34.0	40.0	27.0	41.0
64-65	34.76233304409438	37.0	33.0	40.0	26.0	41.0
66-67	34.416222973732246	37.0	33.0	40.0	26.0	41.0
68-69	34.15532732625712	36.0	33.0	39.0	26.0	41.0
70-71	33.82720414041907	36.0	32.0	39.0	26.0	40.5
72-73	33.42714910573981	35.5	32.0	39.0	25.5	40.0
74-75	33.04858599983274	35.0	32.0	38.0	25.0	40.0
76-77	32.23373481175106	34.5	31.0	37.0	24.0	39.0
78-79	32.31884435328969	35.0	31.0	37.0	24.0	39.0
80-81	31.9973375282015	35.0	31.0	36.5	23.0	39.0
82-83	31.598563343427152	34.5	31.0	36.0	22.0	38.5
84-85	31.216780606162025	34.0	31.0	36.0	21.0	37.0
86-87	30.826588111681982	34.0	30.0	35.0	20.0	37.0
88-89	30.50172182624666	34.0	30.0	35.0	19.5	36.5
90-91	30.15839286114614	34.0	30.0	35.0	18.0	36.0
92-93	29.77645925070513	34.0	29.0	35.0	15.0	36.0
94-95	29.390824300626868	34.0	29.0	35.0	7.5	36.0
96-97	28.88403345257514	34.0	29.0	35.0	2.0	35.0
98-99	28.310066046633153	34.0	29.0	35.0	2.0	35.0
100-101	26.85744263793806	32.5	26.5	34.5	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.2391987170824983
1101	2	0.2911082557240938
1101	3	0.29880983089847746
1101	4	0.3489516959574388
1101	5	0.19290333399805348
1101	6	0.19949826844564456
1101	7	0.3538804323796967
1101	8	0.2285620197251177
1101	9	0.26788808826359656
1101	10-11	0.21080862260822641
1101	12-13	0.16996129191783638
1101	14-15	0.2089003775846976
1101	16-17	0.27701326119697
1101	18-19	0.3516778740543316
1101	20-21	0.21543618808426146
1101	22-23	0.2856689793241287
1101	24-25	0.2635833829317278
1101	26-27	0.22803302882509513
1101	28-29	0.21754063456574357
1101	30-31	0.18102269048163322
1101	32-33	4.388229855230271
1101	34-35	1.343624823731588
1101	36-37	0.5384494625816956
1101	38-39	0.34482437470781235
1101	40-41	0.43916621432581593
1101	42-43	0.26542810630817826
1101	44-45	0.14827205377723374
1101	46-47	0.27422983257459776
1101	48-49	0.22642234430572472
1101	50-51	0.2681643821297257
1101	52-53	0.2805760028612454
1101	54-55	0.3884480508805126
1101	56-57	0.3961127961533748
1101	58-59	0.4269404052465404
1101	60-61	0.48409133036745544
1101	62-63	0.31460654046502157
1101	64-65	0.46187578010044206
1101	66-67	0.5842823137565318
1101	68-69	0.5994323982093803
1101	70-71	0.6024991844742331
1101	72-73	0.5887944149544992
1101	74-75	0.5103080266432016
1101	76-77	0.3122379803684652
1101	78-79	0.54963548045545
1101	80-81	0.6778812362841578
1101	82-83	0.612702851809388
1101	84-85	0.6402735177004644
1101	86-87	0.6379779414759135
1101	88-89	0.5330653321777739
1101	90-91	0.6398297099280157
1101	92-93	0.5482712879864486
1101	94-95	0.8062438414458484
1101	96-97	0.8476540693437293
1101	98-99	0.8217648214698876
1101	100-101	0.987078225694848
1102	1	0.20329495320508428
1102	2	0.26570797244669464
1102	3	0.20051186926255582
1102	4	0.23512677968831497
1102	5	0.13130288445161398
1102	6	0.11683296693974654
1102	7	0.2897386017136796
1102	8	0.20228201447198302
1102	9	0.1866835642364819
1102	10-11	0.17191792781014215
1102	12-13	0.08153350576657203
1102	14-15	0.0942427625937583
1102	16-17	0.12692032784622143
1102	18-19	0.2059243686097716
1102	20-21	0.1988713941919258
1102	22-23	0.11682736547665229
1102	24-25	0.0837179444459153
1102	26-27	0.14906304673412762
1102	28-29	0.15724930786216618
1102	30-31	0.15542396542814174
1102	32-33	4.235675713837338
1102	34-35	1.2323069988958935
1102	36-37	0.37342116982644313
1102	38-39	0.24460703709844722
1102	40-41	0.3232614077393876
1102	42-43	0.3259147994774736
1102	44-45	0.28230730061395803
1102	46-47	0.2260486078689965
1102	48-49	0.16855991468692366
1102	50-51	0.30524820030981203
1102	52-53	0.27278202425328857
1102	54-55	0.18206763052493358
1102	56-57	0.2916629721516131
1102	58-59	0.3737002704314065
1102	60-61	0.3516852329010973
1102	62-63	0.36945772127054255
1102	64-65	0.4683301116061145
1102	66-67	0.5398614550766894
1102	68-69	0.48150972803995984
1102	70-71	0.5068725873028299
1102	72-73	0.5754187500488328
1102	74-75	0.6249695221561495
1102	76-77	0.5002854795272214
1102	78-79	0.6097536817036939
1102	80-81	0.6896926487726276
1102	82-83	0.5740065944714985
1102	84-85	0.7200468319605129
1102	86-87	0.6573060224739393
1102	88-89	0.8042758126236649
1102	90-91	0.8408721724042927
1102	92-93	0.8125656666809142
1102	94-95	0.8794161319745655
1102	96-97	0.8934567041576891
1102	98-99	0.9898276111726716
1102	100-101	1.1919652298315278
1103	1	0.11714103680630217
1103	2	0.15899461492382372
1103	3	0.09190900719301709
1103	4	0.14205440294328042
1103	5	0.1246787451277811
1103	6	0.04092916821901582
1103	7	0.24615457553685616
1103	8	0.09853658817093702
1103	9	0.07978236353524437
1103	10-11	0.05754140442158473
1103	12-13	0.007745001805496088
1103	14-15	0.0011615419598385301
1103	16-17	-0.016992574372167724
1103	18-19	0.10327679817015678
1103	20-21	0.06401779862616053
1103	22-23	0.05891094330375779
1103	24-25	0.019703432875566307
1103	26-27	-0.007401851548777927
