##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ET_385_2.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	221202343
Sequences flagged as poor quality	0
Sequence length	101
%GC	36
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.7494960801568	31.0	31.0	34.0	27.0	34.0
2	30.93942283423282	31.0	31.0	34.0	27.0	34.0
3	30.991253944358085	31.0	31.0	34.0	27.0	34.0
4	34.50146770371234	37.0	35.0	37.0	30.0	37.0
5	34.446241832980945	37.0	35.0	37.0	30.0	37.0
6	34.449038381116964	37.0	35.0	37.0	30.0	37.0
7	34.46115323471054	37.0	35.0	37.0	30.0	37.0
8	34.430113640342405	37.0	35.0	37.0	30.0	37.0
9	35.887238852619205	39.0	35.0	39.0	30.0	39.0
10-11	35.866079404502514	39.0	35.0	39.0	30.0	39.0
12-13	35.81877368948122	39.0	35.0	39.0	30.0	39.0
14-15	36.87058859046533	39.0	36.0	41.0	30.0	41.0
16-17	36.75463332456655	39.0	36.0	41.0	30.0	41.0
18-19	36.818528798313864	39.0	36.0	41.0	30.0	41.0
20-21	36.75430305907746	39.0	36.0	41.0	30.0	41.0
22-23	36.63063883098201	39.0	36.0	41.0	30.0	41.0
24-25	36.56626598209224	39.0	36.0	41.0	29.5	41.0
26-27	36.39559951903402	39.0	36.0	41.0	29.0	41.0
28-29	36.182004686089606	39.0	35.0	41.0	28.0	41.0
30-31	36.07365941869793	39.0	35.0	40.5	27.0	41.0
32-33	36.09737633746492	39.0	35.0	41.0	27.0	41.0
34-35	36.05165454101903	39.0	35.0	41.0	27.0	41.0
36-37	35.96605727860667	39.0	35.0	41.0	27.0	41.0
38-39	35.84102964271043	39.0	35.0	41.0	27.0	41.0
40-41	35.71437783550059	39.0	35.0	40.0	27.0	41.0
42-43	35.56924002608779	38.5	34.5	40.0	26.5	41.0
44-45	35.38990363904057	38.0	34.0	40.0	26.0	41.0
46-47	35.24188886190957	38.0	34.0	40.0	25.5	41.0
48-49	35.032499366428496	38.0	34.0	40.0	25.0	41.0
50-51	34.43273601536852	37.5	33.0	39.5	24.0	40.5
52-53	34.378482928184894	38.0	33.0	40.0	24.0	40.5
54-55	34.534659754937586	38.0	33.0	40.0	24.0	41.0
56-57	34.44047015360954	38.0	33.0	40.0	24.0	41.0
58-59	34.22059103144309	38.0	33.0	40.0	23.0	41.0
60-61	33.993170153717585	37.5	33.0	40.0	23.0	41.0
62-63	33.746241476293946	37.0	32.0	40.0	23.0	41.0
64-65	33.67702525194319	37.0	32.0	40.0	22.0	41.0
66-67	33.490911771219345	37.0	32.0	40.0	22.0	41.0
68-69	33.18042789899381	36.0	32.0	39.0	22.0	41.0
70-71	32.83339151158991	36.0	31.0	39.0	21.0	41.0
72-73	32.369947381163136	35.0	31.0	39.0	19.5	40.5
74-75	32.05150698381165	35.0	31.0	38.0	19.0	40.0
76-77	31.750541808230302	35.0	31.0	37.5	18.5	40.0
78-79	31.339959418965105	35.0	30.5	37.0	17.5	39.0
80-81	30.950587673024785	35.0	30.0	36.5	14.5	39.0
82-83	30.521296612124946	34.0	30.0	36.0	12.0	39.0
84-85	30.062635622715803	34.0	29.0	36.0	7.5	37.5
86-87	29.622238732344712	34.0	29.0	35.0	7.0	37.0
88-89	29.19337065973121	34.0	29.0	35.0	2.0	36.5
90-91	28.796337423966616	34.0	29.0	35.0	2.0	36.0
92-93	28.51755409525658	34.0	29.0	35.0	2.0	36.0
94-95	28.140101422885923	34.0	27.5	35.0	2.0	36.0
96-97	27.689247656386712	34.0	27.0	35.0	2.0	35.5
98-99	27.17178897603268	34.0	26.0	35.0	2.0	35.0
100-101	25.75181736207921	32.5	22.5	34.5	2.0	35.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.398067123995947
1101	2	0.4063709313512618
1101	3	0.4401495234654682
1101	4	0.41250910653976547
1101	5	0.4768904687086817
1101	6	0.5686943078981415
1101	7	0.5804647538582799
1101	8	0.5522051164465722
1101	9	0.6637957901905551
1101	10-11	0.5965209244276224
1101	12-13	0.7106734625788889
1101	14-15	0.8357018629612227
1101	16-17	0.8831165532291081
1101	18-19	0.6367690243405093
1101	20-21	0.7998350253802613
1101	22-23	0.8649546812266138
1101	24-25	0.8602957480014481
1101	26-27	0.7882281691706226
1101	28-29	0.8039028520422775
1101	30-31	0.8186161665862883
1101	32-33	0.8535184870382864
1101	34-35	0.810741934816285
1101	36-37	0.8967089730351958
1101	38-39	0.7043256079150595
1101	40-41	0.6688180078961139
1101	42-43	0.7695306285616397
1101	44-45	0.7556709475965988
1101	46-47	0.8089727456436364
1101	48-49	0.9354295121487652
1101	50-51	0.8500320675229602
1101	52-53	0.7163960553138082
1101	54-55	0.6617497083920156
1101	56-57	0.8150934029162613
1101	58-59	0.9598876668797729
1101	60-61	0.795119981255759
1101	62-63	1.0701549748894053
1101	64-65	0.9765355206492998
1101	66-67	0.8531735314420885
1101	68-69	1.09372419178613
1101	70-71	1.1383730368613882
1101	72-73	1.106881849902237
1101	74-75	1.1271883277767785
1101	76-77	1.1972409899363328
1101	78-79	1.0735560997191484
1101	80-81	1.1075007413789173
1101	82-83	1.0600826989911063
1101	84-85	1.0620253818873842
1101	86-87	1.1259743573442265
1101	88-89	1.0479018173609376
1101	90-91	1.147921164366263
1101	92-93	1.094162199847034
1101	94-95	1.1933443489963587
1101	96-97	1.1271890179970256
1101	98-99	1.2629275913068483
1101	100-101	1.522151902631709
1102	1	0.3689019491628649
1102	2	0.3761630246981902
1102	3	0.4326571756525759
1102	4	0.3262762016233509
1102	5	0.40629177720460063
1102	6	0.3806750641316512
1102	7	0.4428788851585068
1102	8	0.4211593745445583
1102	9	0.48341152051759195
1102	10-11	0.5106233474768018
1102	12-13	0.42310162706960597
1102	14-15	0.6383120432374199
1102	16-17	0.5667181194930677
1102	18-19	0.6207480595794337
1102	20-21	0.6154654268792257
1102	22-23	0.5339670462680459
1102	24-25	0.5583398691783827
1102	26-27	0.7075471256602057
1102	28-29	0.6533473769573348
1102	30-31	0.5490506980584371
1102	32-33	0.6453365177329644
1102	34-35	0.5654403940894355
1102	36-37	0.603235127017939
1102	38-39	0.7068370480909749
1102	40-41	0.6529217098217472
1102	42-43	0.6550546780373168
1102	44-45	0.6595964554659162
1102	46-47	0.7145060152118319
1102	48-49	0.5975517148133136
1102	50-51	0.6671326950723966
1102	52-53	0.531727791520126
1102	54-55	0.6353264847092461
1102	56-57	0.7090209384170336
1102	58-59	0.81021900733694
1102	60-61	0.6089694915304662
1102	62-63	0.6243988259801014
1102	64-65	0.7048112794873234
1102	66-67	0.8576151771261564
1102	68-69	0.6936621899177311
1102	70-71	0.7554983354022866
1102	72-73	0.7894335582138154
1102	74-75	0.7969008594261737
1102	76-77	0.8081622458329178
1102	78-79	0.7824732774621665
1102	80-81	0.7260356232551004
1102	82-83	0.8174489074094247
1102	84-85	0.8463121356980103
1102	86-87	0.8577569207554134
1102	88-89	0.6879305249961263
1102	90-91	0.7859643975400665
1102	92-93	0.9525881251976109
1102	94-95	0.9389080912248353
1102	96-97	0.9197938120827516
1102	98-99	0.949405550390253
1102	100-101	1.1146255720742602
1103	1	0.23849342819715247
1103	2	0.2496529210791678
1103	3	0.30663575247793773
1103	4	0.25811238990101515
1103	5	0.33905484533546826
1103	6	0.2567325913861609
1103	7	0.31357934499386175
1103	8	0.25588506480906403
1103	9	0.26870999337246815
1103	10-11	0.3504788894774862
1103	12-13	0.433649016071314
1103	14-15	0.3747967208873746
1103	16-17	0.5176629700394244
1103	18-19	0.47242008628779786
1103	20-21	0.515026618121631
1103	22-23	0.6564557364043679
